country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.5,,,,38.6,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1,48.7,43.9,43.6,43.2,50.2,45.1,42,39.8,,26.8
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09,,7.23,13.6,7.31,,,7.98,5.32,8.48,2.18,,2.94,1.63,,,2.41
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.36,,,,,,,42.1,,,6.99,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,2.53,1.89,2.1,2.17,2.64,2.11,2.84,2.41,2.19,2.04,1.85,1.78,1.57,2.41,2,1.67,1.59,1.44,1.19,1.16,1.51,1.17,0.96,1.04,1.28,,,0.97
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.53,,24.8,22,18.9,,18.5,9.99,10.5,8.69,
Australia,,,,,,,,,,,,,,,,,,,,,1.21,1.28,1.4,1.45,1.44,1.34,1.33,1.31,1.09,1.21,1.16,0.71,0.58,0.55,0.53,0.45,0.41,0.35,0.32,0.31,0.32,0.28,0.27,0.25,0.27,0.27,0.26,0.23
Austria,,,,,,,,,,,,,,,,,,,,,,,,,5.17,5.32,5.45,4.88,4.37,4.32,4.12,3.89,3.76,3.17,1.62,1.87,1.99,2.84,2.66,2.57,2.42,2.18,2.06,1.97,2.06,1.73,1.64,1.67
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,18.6,16.8,,,,30.2,31,32.1,33,33.7,33.7,33.2,41.4,41.4
Bahamas,,,,,,,,,,,,,,,,,,,,,,0.67,0.57,0.57,0.4,0.97,1.14,0.2,0.41,0.37,,0.17,0.68,0.14,0.48,,,,0.27,0.32,,0.21,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,0.06,0.78,0.75,0.06,0.74,0.74,0.71,0.73,0.76,0.75,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,77.3,,,,73.3,,,48,,60.1,60.1,,,,56.3,11.4,,50.1,,,37.6,29.1
Barbados,,,,,,,,,,,,,,,,,,,,,0.63,0.44,0.22,0.23,,,0.37,,,,0.16,0.16,,,0.16,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04
Belgium,,,,,,,,,,,,,,8.72,10.2,9.61,8.38,7.2,6.1,6.83,6.24,5.13,5.92,5.46,5.08,5.41,5.37,5,4.14,5.26,4.19,3.95,3.75,3.24,3.26,3.4,2.95,2.48,2.18,2.2,1.81,1.85,1.37,1.48,1.48,1.36,1.19,1.08
Belize,,,,,,,,,,,,,,,,,,,,,,,,2.58,4.85,4.3,4.12,4.2,4.67,3.53,,,,,,4.3,,,,,,,,,,,4.8,4.51
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,21,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7,64.7,,,62.3,48.6,48.7,56.2,,53.9,48.2,,
Bolivia,,,,,,,,,,,,,,,,,,,,8.28,6.68,8.81,8.03,11.8,12.6,15.1,14.9,14.2,,37.5,36.7,40.2,38.8,33.9,33.9,36.8,38.7,34.4,30.7,29.3,,30.8,23.1,26.2,29.5,25.1,25.7,24.9
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,8.79,10.5,12.9,11.2,10.3,8.96,8.79,7.88,,,7.38
Botswana,,,,,,,,,,,,,,,0.38,,,,,,,,,,6.76,,,,12.4,,17.4,1.18,,2.22,,,4.34,,,5.89,6.23,,,3.94,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,9.41,,11.9,11.8,,11.9,10.2,10.7,10.1,11,5.5,8.55,8.51,8.27,8.09,8.12,7.17,6.8,5.88,5.54,,4.14,4.58,4.59,4.26,4.18,3.52,3.61
Brunei,,,,,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,0.77,,,0.35
